pH,Temperature,Rainfall,Soil Type,Recommended crop,Natural Fertilizer
5.8,-10,1899,Sandy,Wheat,"Compost, Seaweed Fertilizer, Organic Matter"
8.1,38,1841,Peaty,Cabbage,"Compost, Bone Meal, Wood Ash"
7.2,38,177,Silty,Sunflowers,"Compost, Organic Mulch"
5.2,7,1309,Silty,Flax,"Compost, Organic Mulch"
6.7,5,1778,Clay,Chickpeas,"Compost, Green Manure, Gypsum"
8.4,7,545,Silty,Paddy,"Compost, Organic Mulch"
8.2,-3,1944,Peaty,Cantaloupe,"Compost, Bone Meal, Wood Ash"
6.3,41,1267,Loamy,Lettuce,"Well-rotted Manure, Compost, Mulch"
6.7,29,1043,Loamy,Soybeans,"Well-rotted Manure, Compost, Mulch"
3.7,1,451,Loamy,Cabbage,"Well-rotted Manure, Compost, Mulch"
4.8,12,1795,Silty,Tomatoes,"Compost, Organic Mulch"
7.9,8,1877,Silty,Strawberries,"Compost, Organic Mulch"
5.8,-6,1881,Peaty,Cucumbers,"Compost, Bone Meal, Wood Ash"
4.5,0,1697,Sandy,Chickpeas,"Compost, Seaweed Fertilizer, Organic Matter"
6.5,0,1541,Loamy,Sunflowers,"Well-rotted Manure, Compost, Mulch"
7.4,6,1375,Peaty,Cucumbers,"Compost, Bone Meal, Wood Ash"
7.2,23,1142,Peaty,Potatoes,"Compost, Bone Meal, Wood Ash"
5.6,0,176,Loamy,Soybeans,"Well-rotted Manure, Compost, Mulch"
5.9,32,874,Peaty,Soybeans,"Compost, Bone Meal, Wood Ash"
6.3,7,510,Silty,Rice,"Compost, Organic Mulch"
7.8,31,810,Peaty,Sunflowers,"Compost, Bone Meal, Wood Ash"
6.4,35,302,Peaty,Soybeans,"Compost, Bone Meal, Wood Ash"
5.7,8,521,Sandy,Cotton,"Compost, Seaweed Fertilizer, Organic Matter"
6.2,19,1274,Peaty,Potatoes,"Compost, Bone Meal, Wood Ash"
3.7,34,1480,Peaty,Peppers,"Compost, Bone Meal, Wood Ash"
3.7,10,1936,Clay,Strawberries,"Compost, Green Manure, Gypsum"
7.4,21,986,Clay,Flax,"Compost, Green Manure, Gypsum"
8.9,20,1311,Silty,Potatoes,"Compost, Organic Mulch"
6.8,-3,497,Sandy,Garlic,"Compost, Seaweed Fertilizer, Organic Matter"
5.7,-9,1108,Clay,Potatoes,"Compost, Green Manure, Gypsum"
4.4,9,313,Peaty,Rice,"Compost, Bone Meal, Wood Ash"
6.3,14,1463,Sandy,Spinach,"Compost, Seaweed Fertilizer, Organic Matter"
8.9,11,898,Clay,Rice,"Compost, Green Manure, Gypsum"
7.7,16,706,Clay,Lettuce,"Compost, Green Manure, Gypsum"
6.5,40,1132,Clay,Oats,"Compost, Green Manure, Gypsum"
8.2,2,1123,Peaty,Sunflowers,"Compost, Bone Meal, Wood Ash"
4.8,6,135,Sandy,Peanuts,"Compost, Seaweed Fertilizer, Organic Matter"
6.3,-4,766,Sandy,Barley,"Compost, Seaweed Fertilizer, Organic Matter"
8.7,6,1353,Silty,Barley,"Compost, Organic Mulch"
6.7,36,1885,Loamy,Flax,"Well-rotted Manure, Compost, Mulch"
6,22,923,Silty,Flax,"Compost, Organic Mulch"
5,3,1942,Loamy,Chilli Peppers,"Well-rotted Manure, Compost, Mulch"
6.5,28,676,Sandy,Tomatoes,"Compost, Seaweed Fertilizer, Organic Matter"
8.8,17,137,Loamy,Blueberries,"Well-rotted Manure, Compost, Mulch"
3.5,42,421,Peaty,Oats,"Compost, Bone Meal, Wood Ash"
7.8,-9,511,Clay,Sunflowers,"Compost, Green Manure, Gypsum"
8,4,1856,Loamy,Cabbage,"Well-rotted Manure, Compost, Mulch"
8.4,-9,771,Peaty,Potatoes,"Compost, Bone Meal, Wood Ash"
7.6,15,1761,Peaty,Blueberries,"Compost, Bone Meal, Wood Ash"
8,-1,1253,Peaty,Mustard,"Compost, Bone Meal, Wood Ash"
6.4,-8,1702,Loamy,Wheat,"Well-rotted Manure, Compost, Mulch"
6.6,36,376,Silty,Wheat,"Compost, Organic Mulch"
5.8,0,794,Loamy,Oats,"Well-rotted Manure, Compost, Mulch"
